TA,專案,成效,興趣,類型
"30-65
上班族",勝興豐川,差,"30-65 / 沿海 市區 / 上班族
1.地點：沙鹿火車站（+5 公里）, 西屯工業區（+5 公里）, 潭雅神綠園道（+5 公里）, 台中世貿中心（+5 公里）
2.興趣：上班族（流行文化） 、收入（商業與財務） 、股票（投資） 、金錢（貨幣） 、經濟 (經濟) 、儲蓄（銀行業） 、財務規劃（投資） 、新聞媒體（新聞服務） 、時事（政治） 、 7-11 、便利商店（零售業者） 、咖啡（美食和餐飲） 、 591房屋交易網或房屋（房地產）",名單
"30-65
1%科技商業",勝興豐川,差,"30-65 / 沙鹿龍井清水 / 1% 科技商業
1.地點：沙鹿車站（+8 公里）, 台中港車站（+5 公里）, 精科路（+5 公里）
2.興趣：房屋（房地產） 、 591房屋交易網、商業（商業與財務） 、貿易（經濟） 、收入（商業與財務） 、新聞媒體（新聞服務） 、物流（商業與財務） 或資訊科技（電腦和電子產品）",名單
"30-65
金融經濟",勝興豐川,差,"30-65 / 台灣大道沿線 / 金融經濟
1. 地點：水湳經貿園區（+5 公里）, 文心森林公園（+5 公里）, 弘光科技大學（+5 公里）, MITSUI OUTLET PARK 台中港（+5 公里）
2.興趣：財經（商業與財務） 、金錢（貨幣） 、金融服務（商業與財務） 、投資（商業與財務） 、金融市場（投資） 、財務規劃（投資） 、投資策略（投資） 、資產管理 (商業和金融業) 、商業（商業與財務） 、交易策略（投資） 、外匯交易信號（貨幣） 、股票經紀人 (投資) 、財務顧問 (投資) 、房屋（房地產） 或房屋廣告和入口網站 (網站)",名單
"30-65
1%房地產興趣",勝興豐川,差,"30-65 / 西部沿海 / 1%房地產興趣
1.地點：中港系統交流道（+10 公里）, 台中市幼獅工業區（+10 公里） ; 彰化台17（+10 公里）, 全興工業區（+10 公里）
2.興趣：房地產（產業） 、房地產投資（投資） 、不動產（房地產） 、公寓（房地產） 、房屋（房地產） 、住宅區（房地產） 、新家、住宅興建（建築業） 、建築（建築） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、房地產估價 (房地產) 、房地產經濟學 (經濟) 或房地產開發（房地產）",名單
"30-65
公務員",大漁樂芙,差,"30-65 / 大里太平 / 公務員
1.地點：台灣：太平戶政事務所（+5 公里）, 青年高中（+5 公里）
2. 興趣：社區議題（法律與政府） 、教育（社會觀念） 、書籍（媒體刊物） 、地方政府、本地新聞（新聞服務） 、公共廣播或房屋（房地產）、行業類別：行政服務、教育和圖書館或政府員工（全球）",名單
"35-65
退休返鄉",寬心璽玥,差,"35-65 / 南投 台中 / 退休返鄉
1.地點：台中 火車站（+10 公里） ; Nantou
2.興趣：退休基金 (銀行業) 、退休保險、儲蓄帳戶（銀行業） 、新聞播報（新聞服務） 、報紙（媒體刊物） 、戶外休閒活動（戶外活動） 、家庭（社會觀念） 、旅行社和預訂 (旅遊觀光業) 、 591房屋交易網、房屋廣告和入口網站 (網站) 或廣播",訊息
"65-65
教職員+房產興趣",中科峇里島17,優,"35-60 / 大雅 神岡 沙鹿 / 教職員+房產興趣
1.地點：大楊國小（+5 公里）, 台中日僑學校（+5 公里）, 神岡國小（+5 公里）, 靜宜大學（+5 公里）
2.興趣：高等教育（教育） 、新聞媒體（新聞服務） 、書籍（媒體刊物） 、文化（社會觀念） 、財經（商業與財務） 、電視台、教育（社會觀念） 、圖書館、房屋（房地產） 、公寓（房地產） 、房地產投資（投資） 、 591房屋交易網或房屋廣告和入口網站 (網站), 行業類別：教育和圖書館",訊息
"30-65
鎖產業",寬心璽玥,可,"30-65 / 埔里 草屯 / 鎖產業
1.地點：草屯市區（+15 公里） ; 埔里國小（+15 公里）
2.興趣：591房屋交易網、房屋廣告和入口網站 (網站) 、新聞媒體（新聞服務） 或家庭（社會觀念）、行業類別：行政服務、教育和圖書館、健康照護與醫療服務、商業與金融、農、林、漁業、食品與餐飲、安裝與維修服務、法律服務、藝術、娛樂、運動和媒體、製造或運輸與搬運",訊息
"30-60
傳產 公務員
$244、11訊息",新都峰,優,"30-60 / 和美 國道1 / 傳產 公務員
1.地點：和美高中（+5 公里）, 烏日工業城（+5 公里）, 大肚橋（+5 公里） ; 精誠夜巿（+5 公里）
2.興趣：住家修繕（居家裝修） 、保養、維修和操作（建築業） 、製造業（產業） 、物流（商業與財務） 、工廠（製造業） 、機械加工、工具機 (興建和維修) 、批發（零售） 、機器、經銷（商業） 、房屋（房地產） 、 591房屋交易網、上班族（流行文化） 或社群媒體（網路媒體）、行業類別：行政服務、教育和圖書館、安裝與維修服務或運輸與搬運",訊息
"26-60
軟裝興趣",臻富裕,差,"26-60 / 大台中 / 軟裝興趣
1.地點：台中中央公園（+20 公里）, 清水車站（+20 公里）
2.興趣：美容（社會觀念） 、室內設計（設計） 、傢俱（居家裝潢） 、臥室家具（居家裝潢） 、居家裝修（家居和園藝用品） 、現代家具（居家裝潢） 、網路購物（零售） 、宜家家居（零售業者） 、 Zara Home（零售業者） 或居家裝潢零售商 (零售)",流量
"30-60
設計+休閒",光華盛璟,優,"30-60 / 竹南 竹北 / 設計+休閒
1.地點：竹南運動公園（+6 公里） ; 新竹科學工業園區（+6 公里）, 北新竹車站（+6 公里）
2.興趣：居家裝修（家居和園藝用品） 、室內設計（設計） 、設計（設計） 、住家修繕（居家裝修） 、平面設計（視覺藝術） 、網站設計（網站） 、時尚設計（設計） 、服裝（服飾） 、時尚配件（飾品配件） 、休閒娛樂（社會觀念） 、休閒遊戲（電玩遊戲） 、網路購物（零售） 、百貨公司（零售） 、房屋（房地產） 或房屋廣告和入口網站 (網站)

27-60
-室內設計（設計） 、房屋（房地產） 、平面設計（視覺藝術） 、百貨公司（零售） 、居家裝修（家居和園藝用品） 、時尚設計（設計） 、網路購物（零售） 、時尚配件（飾品配件） 、休閒娛樂（社會觀念） 、網站設計（網站） 、服裝（服飾） 、設計（設計） 、房屋廣告和入口網站 (網站) 、休閒餐廳 (餐廳) 、美容（社會觀念） 或居家事業（商業與財務）",訊息
"30-60
生活品質
",備用,⠀,"30-60 / 竹北 竹東 / 生活品質
1.地點：台灣：竹東工研院（+6 公里）, 竹北台元科技園區（+6 公里）, 新竹巨城（+6 公里）
2.興趣：上班族（流行文化） 、品質保證、無印良品、 Zara（零售業者） 、時尚配件（飾品配件） 、宜家家居（零售業者） 、有機產品（美食和餐飲） 、家庭（社會觀念） 、網路購物（零售） 、現代家具（居家裝潢） 、智慧科技 (消費電子產品) 、 http://iherb.com/ 、亞馬遜公司（零售業者） 、 PayPal（銀行業） 、百貨公司（零售） 或房屋（房地產）",
"30-65
家庭 藝文興趣",勝興豐川,差,"30-65 / 梧棲 西屯 / 家庭 藝文興趣
1.地點：台中中央公園（+6 公里）, 中港高中（+6 公里）, 東海大學（+6 公里）
2.興趣：家庭（社會觀念） 、教育（社會觀念） 、休旅車（交通工具） 、現代藝術（藝術） 、藝術展覽（視覺藝術） 、當代美術館（視覺藝術） 、繪畫（視覺藝術） 、創意（社會觀念） 、插畫、旅遊頻道、度假（社會觀念） 、旅遊網站（網站） 或房屋（房地產）",名單
"30-60
藍領 3C 運動",惠田好日子,差,"30-60 / 北區太平大里 / 藍領 3C 運動
1.地點：北區國民運動中心（+5 公里）, 太平工業區（+5 公里）, 大里工業區（+5 公里）, 總站夜市（+5 公里）
2.興趣：工廠（製造業） 、製造生產服務和組織 (製造業) 、物流（商業與財務） 、保單（保險） 、家庭（社會觀念） 、量販店（食品零售業者） 、特賣促銷（行銷） 、消費電子產品媒體和內容 (電腦和電子產品) 、電腦 (電腦和電子產品) 、酒精飲品（美食和餐飲） 、收入（商業與財務） 、運動（體育運動） 、戶外休閒活動（戶外活動） 、羽球 (球拍類運動) 或房屋（房地產）",名單
"30-60 
服務業 上班族",惠田好日子,差,"30-60 / 北屯北區太平 / 服務業 上班族
1.地點：中友百貨（+4 公里）, 太原車站（+4 公里）, 祥順運動公園（+4 公里）
2.興趣：上班族（流行文化） 、金融服務（商業與財務） 、餐飲業（餐飲） 、網路購物（零售） 、便利商店（零售業者） 、購物（零售） 、服裝（服飾） 、假期（活動） 、飲料（美食和餐飲） 、流行文化（社會觀念） 、 591房屋交易網或房地產（產業）、行業類別：行政服務、業務、資訊科技和技術服務、安裝與維修服務、運輸與搬運或藝術、娛樂、運動和媒體",名單
"28-65 
純房產",寬心璽玥,可,"28-65 / 埔里 草屯 / 純房產
1.地點：草屯市區（+20 公里） ; 埔里國小（+20 公里）
2.興趣：房屋（房地產） 、公寓（房地產） 、房地產經濟學 (經濟) 、 591房屋交易網、房地產開發（房地產） 、新家、住宅區（房地產） 、房地產投資（投資） 、房地產（產業） 、不動產（房地產） 、新聞媒體（新聞服務） 或房屋廣告和入口網站 (網站)",訊息
"18-45
年輕人興趣",樂天保齡球,可,"18-45 / 大台中 / 室內娛樂
-球霸撞球運動休閒館（+3 公里）, 雅環保齡球館（+3 公里）, TIGER球の運動館（+3 公里）、大魯閣保齡球棒壘球 新時代館（+3 公里）
-街機、網路迷因（流行文化） 、運動（體育運動） 、撞球、網路購物（零售） 、休閒娛樂（社會觀念） 、酒精飲品（美食和餐飲） 、保齡球、休閒活動（休閒） 、飛鏢、復古遊戲、玩家（電玩遊戲） 、 YouTube（串流服務） 、 Nike 球鞋 (鞋類) 或羽球 (球拍類運動)",互動
"30-65
銀行精算師",惠田好日子,差,"30-65 / 西屯北屯 / 銀行精算師
-水崛頭公園（+5 公里）, 統聯中港轉運站 U Bus（+5 公里）
-金錢（貨幣） 、財經（商業與財務） 、會計學（商業與財務） 、個人理財（銀行業） 、金融服務（商業與財務） 、銀行業（金融） 、企業家（商業與財務） 、會計系統、投資（商業與財務） 、財務會計（商業與財務） 、商業（商業與財務） 或財富管理（銀行業）、行為：小型企業主",名單
"28-55
年輕興趣",惠田好日子,差,"28-55 / 北屯 潭子 / 年輕興趣
-太原車站（+5 公里）, 頭家厝菜市場（+5 公里）
-上班族（流行文化） 、儲蓄（銀行業） 、行銷企劃 (行銷) 、數位行銷（行銷） 、社群媒體行銷（行銷） 、個人理財（銀行業） 、保險（商業與財務） 、促銷（行銷） 、百貨公司（零售） 、流行文化（社會觀念） 、美容沙龍（化妝品） 、咖啡廳（咖啡） 、媽媽寶寶-懷孕、生產、育兒、傢俱（居家裝潢） 、咖啡豆（咖啡） 、簡餐館（餐廳） 、時尚配件（飾品配件） 、婚姻（婚禮） 、婚禮（社會觀念） 、零售業（產業） 、住家（家居和園藝用品） 或房地產（產業）",名單
"30-60
純房產興趣",大漁樂芙,優,"30-60 / 大里烏日南屯 / 純房產興趣
-烏日工業城（+3 公里）, 大里十九甲（+5 公里）, 台中好巿多（+3 公里）
-房地產（產業） 、房屋（房地產） 、公寓大樓（房地產） 、住宅區（房地產） 、起步房（房地產） 、 591房屋交易網、房屋廣告和入口網站 (網站) 、房地產經濟學 (經濟) 、租賃（房地產） 或由擁有者出售 (房地產)",訊息
"30-65 
大空間需求",勝興豐川,差,"30-65 / 台中海線 / 大空間需求
-精科路（+8 公里）, 沙鹿車站（+8 公里）, 清水服務區（+8 公里）
-水族飼養、家用遊戲機、寵物（動物） 、寵物店（寵物用品） 、家庭劇院、收藏（興趣） 、嗜好（休閒） 、三維模型、比例模型、投影機 (消費電子產品) 、樂器（樂器） 、音響設備（電子產品） 、園藝（家居和園藝用品） 或媽媽寶寶-懷孕、生產、育兒、家長：父母（全部）",名單
"30-60
家庭主婦選房",勝興豐川,差,"30-60 / 清水龍井大雅 / 家庭主婦選房
-清水第二公有市場（+6 公里）, 東海黃昏市場（+6 公里）, 大雅第一市場（+6 公里）
-學習（教育） 、烹飪（美食和餐飲） 、烹飪和烘焙用具（廚房與餐廚） 、廚房器具 (廚房和餐飲) 、 Cookbook（媒體刊物） 、咖啡機 (廚房和餐飲) 、咖啡烹煮（咖啡） 、家電（消費電子產品） 、 Food Network 美食頻道（電視網路） 、美容沙龍（化妝品） 、護膚保養（化妝品） 、超市（食品零售業者） 、花卉（植物與花卉） 、服裝（服飾） 或房屋（房地產）",名單
